date,weekday,is_weekend,weather_desc,temp,rain,snow,wind,cloud,total,male,female,sex_unknown,10s,20s,30s,40s,50s,60s,70s+,age_unknown,humid,is_rain,is_snow
2024-04-21,Sunday,1,흐림,17.2,0,0,3.8,8.8,72461,30437,21228,20796,4366,18931,17612,11920,8548,3134,586,7364,65.5,0,0
2024-04-22,Monday,0,흐림,18.8,0,0,3.1,6.5,86431,35348,26138,24945,4550,21539,20429,14783,11097,4471,862,8700,49.4,0,0
2024-04-23,Tuesday,0,흐림,17.3,0,0,3.6,7.9,77968,32511,22914,22543,4118,18843,18151,13498,10423,4463,852,7620,55,0,0
2024-04-24,Wednesday,0,흐림+비,13.2,9,0,3,7.8,62525,26720,17892,17913,3530,16039,14586,10334,8151,3389,626,5870,80.1,1,0
2024-04-25,Thursday,0,맑음,14.4,0,0,1.9,4.4,84005,34893,24918,24194,4521,20778,19312,14292,11037,4563,855,8647,75.6,0,0
2024-04-26,Friday,0,맑음,17.8,0,0,1.9,3.4,87353,36339,25840,25174,5198,21673,19977,14955,11067,4598,831,9054,61.1,0,0
2024-04-27,Saturday,1,맑음,18.2,0,0,1.9,0.3,82617,34290,24265,24062,4910,21747,19795,13158,9635,3765,703,8904,56.4,0,0
2024-04-28,Sunday,1,맑음,20.7,0,0,1.6,5.9,78240,32785,22948,22507,4910,20975,19101,12442,8592,3261,584,8375,53.5,0,0
2024-04-29,Monday,0,맑음,20.9,0,0,3,5.6,86187,35785,25610,24792,5022,21561,19959,14529,10901,4461,836,8918,48,0,0
2024-04-30,Tuesday,0,흐림,18.6,0,0,2.2,8.5,87550,36469,25851,25230,5115,21445,20335,14893,11248,4808,855,8851,62.5,0,0
2024-05-01,Wednesday,0,맑음,18.5,0,0,2.4,4.6,88898,36525,26765,25608,5765,22466,20991,14659,10454,4340,735,9488,46,0,0
2024-05-02,Thursday,0,맑음,18.1,0,0,2.4,0,88452,36359,26636,25457,5374,22109,20377,14715,11151,4644,839,9243,48.4,0,0
2024-05-03,Friday,0,맑음,19.7,0,0,1.9,0,90386,37496,26801,26089,5795,22170,20770,15032,11442,4806,878,9493,46.9,0,0
2024-05-04,Saturday,1,맑음,21.4,0,0,1.9,3.4,80857,33637,23899,23321,5491,21428,19209,12322,9172,3766,705,8764,44.8,0,0
2024-05-05,Sunday,1,흐림+폭우,17.8,48.3,0,2.5,10,12049,6442,2119,3488,814,4139,2574,1274,1311,663,93,1181,87.4,1,0
2024-05-06,Monday,0,흐림+폭우,13.9,12.3,0,3.1,10,20252,10044,4772,5436,1558,5376,4849,3103,2543,973,185,1665,92.9,1,0
